Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Category Screening,M8_q01,How often do you personally use body wash or shower gel?,daily,Daily,"Real interview data shows I shower once per day and use body wash as part of my routine, indicating daily usage."
Category Screening,M8_q02,Which body wash or shower gel brands have you used in the past 3 months? Select all that apply.,"[""fiama"", ""pears"", ""dove""]",Fiama; Pears; Dove,"Real interview data shows I currently use Arata, Fiama, Pears, Dettol, and I can name Dove among brands I know, so selecting the ones available in the options that I've used."
Category Screening,M8_q03,"Overall, how satisfied are you with the body wash or shower gel you currently use most often?",somewhat_dissatisfied,Somewhat dissatisfied,"Real interview evidence shows I'm 'still not satisfied after switching' and my current body wash frustration is 'No Fragrance', indicating dissatisfaction."
Category Screening,M8_q04,"What, if anything, would you most like to see improved in body wash or shower gel products?",Better fragrance longevity that lasts all day and more affordable pricing for premium scent technology.,Better fragrance longevity that lasts all day and more affordable pricing for premium scent technology.,"Evidence shows I'm fragrance-obsessed wanting all-day scent duration but price-constrained under ₹100, creating tension between fragrance needs and budget."
Concept 1: Dove 60-Second Body Spray,M8_q05,"Overall, how interested are you in this product concept?",2,2,"While the micellar technology sounds interesting, at ₹399 it's way above my usual under-₹100 budget and doesn't mention fragrance longevity which is my main priority."
Concept 1: Dove 60-Second Body Spray,M8_q06,"What, if anything, did you find most appealing about the Dove 60-Second Body Spray concept?","The micellar technology sounds interesting, but at ₹399 it's way above my usual under-₹100 budget and doesn't mention fragrance longevity which is my main priority.","The micellar technology sounds interesting, but at ₹399 it's way above my usual under-₹100 budget and doesn't mention fragrance longevity which is my main priority.","Evidence shows I prioritize price (under ₹100 typical spend) and fragrance longevity above all other benefits, making the high price and lack of fragrance focus unappealing."
Concept 1: Dove 60-Second Body Spray,M8_q07,"What, if anything, would you change or improve about the Dove 60-Second Body Spray concept?","Reduce the price significantly to under ₹200 and add strong fragrance that lasts all day, not just quick cleansing.","Reduce the price significantly to under ₹200 and add strong fragrance that lasts all day, not just quick cleansing.","Evidence shows price dominates all decisions with under ₹100 typical spend, and I'm fragrance-obsessed wanting all-day scent duration over other benefits."
Concept 1: Dove 60-Second Body Spray,M8_q08,How well does the Dove 60-Second Body Spray concept fit with your current routine?,2,2,"The quick cleansing concept could fit somewhat with rushed routines, but my priority is fragrance longevity over speed, making it only moderately aligned with my needs."
Concept 1: Dove 60-Second Body Spray,M8_q09,How likely would the Dove 60-Second Body Spray be to save you time in your routine?,3,3 (Moderately likely),"The 60-second cleansing would moderately save time in rushed situations, though time-saving isn't my primary concern compared to fragrance performance."
Concept 1: Dove 60-Second Body Spray,M8_q10,"Based on what you've seen, how likely would you be to buy the Dove 60-Second Body Spray?",probably_not,Probably would not buy,"At ₹399 for regular size, this exceeds my under-₹100 typical spend, and speed isn't my priority - fragrance longevity is what I care about most."
